datetime,Daily_peak_wind,SustainedWindSpeed,airport
2007-02-21,17.0,14.0,montrose
2007-02-22,31.0,22.0,montrose
2007-02-23,39.0,30.0,montrose
2007-02-24,37.0,29.0,montrose
2007-02-25,30.0,23.0,montrose
2007-02-26,17.0,14.0,montrose
2007-02-27,49.0,38.0,montrose
2007-03-01,20.0,15.0,montrose
2007-03-02,35.0,26.0,montrose
2007-03-03,,26.0,montrose
2007-03-04,29.0,28.0,montrose
2007-03-05,31.0,,montrose
2007-03-06,17.0,15.0,montrose
2007-03-07,16.0,13.0,montrose
2007-03-08,22.0,16.0,montrose
2007-03-09,13.0,12.0,montrose
2007-03-10,24.0,20.0,montrose
2007-03-11,15.0,12.0,montrose
2007-03-12,,12.0,montrose
2007-03-13,15.0,13.0,montrose
2007-03-14,25.0,17.0,montrose
2007-03-15,24.0,21.0,montrose
2007-03-16,15.0,13.0,montrose
2007-03-17,15.0,13.0,montrose
2007-03-18,35.0,23.0,montrose
2007-03-19,24.0,18.0,montrose
2007-03-20,35.0,25.0,montrose
2007-03-21,40.0,29.0,montrose
2007-03-22,24.0,20.0,montrose
2007-03-23,18.0,15.0,montrose
2007-03-24,20.0,15.0,montrose
2007-03-25,16.0,13.0,montrose
2007-03-26,26.0,23.0,montrose
2007-03-27,51.0,36.0,montrose
2007-03-28,29.0,20.0,montrose
2007-03-29,25.0,25.0,montrose
2007-03-30,,26.0,montrose
2007-04-01,30.0,22.0,montrose
2007-04-02,35.0,26.0,montrose
2007-04-03,20.0,17.0,montrose
2007-04-04,16.0,13.0,montrose
2007-04-05,28.0,22.0,montrose
2007-04-06,18.0,14.0,montrose
2007-04-07,26.0,22.0,montrose
2007-04-08,29.0,24.0,montrose
2007-04-09,31.0,23.0,montrose
2007-04-10,39.0,30.0,montrose
2007-04-11,33.0,23.0,montrose
2007-04-12,20.0,16.0,montrose
2007-04-13,33.0,24.0,montrose
2007-04-14,24.0,14.0,montrose
2007-04-15,28.0,21.0,montrose
2007-04-16,43.0,31.0,montrose
2007-04-17,16.0,14.0,montrose
2007-04-18,54.0,40.0,montrose
2007-04-19,28.0,20.0,montrose
2007-04-20,41.0,28.0,montrose
2007-04-21,40.0,30.0,montrose
2007-04-22,28.0,22.0,montrose
2007-04-23,33.0,25.0,montrose
2007-04-24,38.0,29.0,montrose
2007-04-25,16.0,14.0,montrose
2007-04-26,20.0,17.0,montrose
2007-04-27,25.0,25.0,montrose
2007-04-28,26.0,23.0,montrose
2007-04-29,31.0,25.0,montrose
2007-05-01,33.0,25.0,montrose
2007-05-02,23.0,18.0,montrose
2007-05-03,53.0,40.0,montrose
2007-05-04,32.0,24.0,montrose
2007-05-05,31.0,24.0,montrose
2007-05-06,25.0,18.0,montrose
2007-05-07,18.0,12.0,montrose
2007-05-08,16.0,13.0,montrose
2007-05-09,22.0,17.0,montrose
2007-05-10,16.0,13.0,montrose
2007-05-11,25.0,21.0,montrose
2007-05-12,44.0,31.0,montrose
2007-05-13,33.0,25.0,montrose
2007-05-14,35.0,24.0,montrose
2007-05-15,24.0,16.0,montrose
2007-05-16,,32.0,montrose
2007-05-17,18.0,14.0,montrose
2007-05-18,26.0,16.0,montrose
2007-05-19,24.0,20.0,montrose
2007-05-20,26.0,22.0,montrose
2007-05-21,36.0,29.0,montrose
2007-05-22,38.0,30.0,montrose
2007-05-23,28.0,20.0,montrose
2007-05-24,17.0,14.0,montrose
2007-05-25,,13.0,montrose
2007-05-26,41.0,29.0,montrose
2007-05-27,20.0,15.0,montrose
2007-05-28,25.0,18.0,montrose
2007-05-29,52.0,36.0,montrose
2007-05-30,24.0,23.0,montrose
2007-06-01,21.0,16.0,montrose
2007-06-02,26.0,18.0,montrose
2007-06-03,32.0,23.0,montrose
2007-06-05,46.0,31.0,montrose
2007-06-06,58.0,43.0,montrose
2007-06-07,26.0,22.0,montrose
2007-06-08,33.0,24.0,montrose
2007-06-09,28.0,21.0,montrose
