datetime,Daily_peak_wind,SustainedWindSpeed,airport
2006-10-15,14.0,12.0,aspen
2006-10-16,32.0,26.0,aspen
2006-10-17,21.0,17.0,aspen
2006-10-18,16.0,13.0,aspen
2006-10-19,12.0,9.0,aspen
2006-10-20,30.0,22.0,aspen
2006-10-21,22.0,17.0,aspen
2006-10-22,15.0,12.0,aspen
2006-10-23,13.0,12.0,aspen
2006-10-24,12.0,10.0,aspen
2006-10-25,35.0,29.0,aspen
2006-10-26,26.0,17.0,aspen
2006-10-27,12.0,9.0,aspen
2006-10-28,14.0,12.0,aspen
2006-10-29,14.0,12.0,aspen
2006-10-30,25.0,17.0,aspen
2006-11-01,16.0,13.0,aspen
2006-11-02,18.0,13.0,aspen
2006-11-03,21.0,15.0,aspen
2006-11-04,22.0,16.0,aspen
2006-11-05,16.0,14.0,aspen
2006-11-06,15.0,13.0,aspen
2006-11-07,15.0,12.0,aspen
2006-11-08,16.0,12.0,aspen
2006-11-09,36.0,29.0,aspen
2006-11-10,16.0,13.0,aspen
2006-11-11,38.0,23.0,aspen
2006-11-12,22.0,16.0,aspen
2006-11-13,12.0,10.0,aspen
2006-11-14,36.0,25.0,aspen
2006-11-15,10.0,9.0,aspen
2006-11-16,12.0,10.0,aspen
2006-11-17,12.0,10.0,aspen
2006-11-18,18.0,15.0,aspen
2006-11-19,13.0,12.0,aspen
2006-11-20,14.0,12.0,aspen
2006-11-21,12.0,10.0,aspen
2006-11-22,18.0,17.0,aspen
2006-11-23,28.0,21.0,aspen
2006-11-24,14.0,12.0,aspen
2006-11-25,21.0,15.0,aspen
2006-11-26,22.0,18.0,aspen
2006-11-27,29.0,24.0,aspen
2006-11-28,24.0,16.0,aspen
2006-11-29,12.0,10.0,aspen
2006-12-01,13.0,10.0,aspen
2006-12-02,10.0,8.0,aspen
2006-12-03,12.0,10.0,aspen
2006-12-04,10.0,10.0,aspen
2006-12-05,12.0,10.0,aspen
2006-12-06,10.0,9.0,aspen
2006-12-07,9.0,9.0,aspen
2006-12-08,12.0,10.0,aspen
2006-12-09,12.0,10.0,aspen
2006-12-10,13.0,12.0,aspen
2006-12-11,16.0,13.0,aspen
2006-12-12,13.0,10.0,aspen
2006-12-13,13.0,10.0,aspen
2006-12-14,13.0,10.0,aspen
2006-12-15,28.0,21.0,aspen
2006-12-16,30.0,24.0,aspen
2006-12-17,25.0,21.0,aspen
2006-12-18,10.0,9.0,aspen
2006-12-19,8.0,7.0,aspen
2006-12-20,13.0,12.0,aspen
2006-12-21,9.0,9.0,aspen
2006-12-22,12.0,9.0,aspen
2006-12-23,12.0,10.0,aspen
2006-12-24,20.0,15.0,aspen
2006-12-25,13.0,12.0,aspen
2006-12-26,12.0,10.0,aspen
2006-12-27,26.0,24.0,aspen
2006-12-28,14.0,12.0,aspen
2006-12-29,10.0,9.0,aspen
2006-12-30,13.0,10.0,aspen
2007-01-01,13.0,10.0,aspen
2007-01-02,12.0,10.0,aspen
